,Latitude,Longitude,Problem
85,-8.465001,54.271302,Public low
86,-7.409999,52.348698,Private fast
87,-8.212924,52.861526,Private fast
88,-7.801199,52.956953,Public fast
89,-7.821686,52.675998,Private low
90,-7.147005,52.164062,Public fast
91,-6.227539,52.644754,Private fast
92,-6.57359,52.50341,Private fast
93,-6.295529,52.673257,Public low
94,-6.460155,52.337957,Private fast
95,-6.463952,52.340105,Private low
96,-6.159181,52.794954,Public low
97,-6.154016,52.796732,Public low
98,-6.153186,52.79884,Private fast
99,-6.108066,53.011805,Public fast
100,-6.103734,53.204956,Private fast
101,-6.0982,53.203109,Public low
102,-6.5013,55.0709,Public low
103,-5.928256,54.594342,Public low
104,-5.924292,54.594109,Public fast
105,-5.935574,54.593365,Private fast
106,-5.905207,54.546408,Private low
107,-5.839133,54.59371,Private fast
108,-5.815372,54.852279,Public low
109,-5.818398,54.850413,Public fast
110,-5.824385,54.85092,Private fast
111,-6.651237,55.202916,Public low
112,-6.089323,54.705215,Public fast
113,-6.660039,54.350942,Public fast
114,-6.393503,54.451549,Public low
115,-6.44002,54.422202,Public low
116,-7.32095,54.9989,Public fast
117,-7.322001,55.01272,Private fast
118,-7.32185,54.99548,Public low
119,-6.61157,54.75236,Private low
120,-7.464149,54.829324,Private low
121,-6.2711,54.349378,Public low
122,-5.658459,54.647352,Private fast
123,-5.758739,54.396759,Private fast
124,-5.821811,54.5895,Private low
125,-5.800031,54.652793,Private low
126,-6.0077,54.0607,Public low
127,-5.890661,54.214826,Private low
128,-6.361695,54.189322,Private low
129,-6.338146,54.175246,Private low
130,-8.091973,54.480109,Private fast
131,-7.639049,54.385592,Private fast
132,-7.57355,54.19802,Private fast
133,-7.640307,54.34741,Private fast
134,-7.637848,54.343512,Private fast
135,-6.73992,54.64163,Private fast
136,-6.747952,54.647349,Private fast
137,-7.31583,54.37878,Public fast
138,-7.352932,54.676914,Public low
139,-7.307725,54.601591,Private low
140,-7.334948,54.659146,Private low
141,-6.197212,53.492693,Public low
142,-6.28074,53.3708,Private fast
143,-6.213815,53.280332,Private fast
144,-6.234603,53.428658,Private fast
145,-6.456163,52.25783,Private low
146,-6.018397,54.69481,Private fast
147,-6.197212,53.492693,Private low
148,-6.213815,53.280332,Public fast
149,-6.3138,53.3044,Public low
150,-6.234603,53.428658,Public fast
151,-6.452681,53.349266,Private fast
152,-6.8766,53.4112,Private fast
153,-8.528397,54.389519,Private fast
154,-6.456163,52.25783,Public low
155,-6.018397,54.69481,Public fast
156,-8.482733,51.919755,Public low
157,-6.197212,53.492693,Public fast
158,-6.213815,53.280332,Public low
159,-6.3138,53.3044,Private fast
160,-6.234603,53.428658,Public fast
161,-6.452681,53.349266,Private low
162,-6.8766,53.4112,Private fast
163,-8.528397,54.389519,Public low
164,-6.456163,52.25783,Private low
165,-6.018397,54.69481,Public low
166,-7.352932,54.676914,Public low
167,-6.927016,52.833492,Public fast
168,-6.736986,52.801581,Public fast
169,-7.204457,53.86385,Public fast
170,-9.290289,53.027069,Public low
171,-8.897258,52.761544,Public low
172,-8.877285,52.708176,Private fast
173,-8.534676,51.886038,Public fast
174,-8.389447,51.814197,Private fast
175,-8.88957,51.620831,Private low
176,-8.295589,51.852858,Public fast
177,-8.30804,51.803537,Private low
178,-9.111555,51.721685,Public fast
179,-9.553212,51.750022,Public fast
180,-8.331938,51.849032,Private low
181,-7.850032,51.956697,Private low
182,-7.783045,54.797965,Private fast
183,-8.188621,54.501145,Private fast
184,-7.262612,55.251378,Public low
185,-8.284545,54.798248,Private fast
186,-8.443325,54.636031,Private low
187,-7.768815,54.804946,Public low
188,-6.185082,53.251009,Public fast
189,-6.242058,53.41601,Private low
190,-6.212747,53.353856,Private fast
191,-6.315448,53.31948,Public fast
192,-6.116236,53.391623,Public low
193,-6.364012,53.375177,Public low
194,-6.149376,53.260088,Private low
195,-6.169813,53.252775,Public low
196,-6.203613,53.277164,Private fast
197,-6.248054,53.338006,Private fast
198,-6.255804,53.332326,Public low
199,-6.257851,53.335409,Private low
200,-6.242715,53.336496,Public fast
201,-6.24871,53.3344,Private low
202,-6.183082,53.360832,Public low
203,-6.228056,53.342945,Private low
204,-6.232894,53.338798,Public low
205,-6.15157,53.451232,Public low
206,-6.421705,53.283222,Public fast
207,-6.199702,53.290457,Public fast
208,-6.223713,53.45423,Private fast
209,-10.019564,53.488862,Private low
210,-9.050699,53.278213,Public low
211,-9.052773,53.276523,Private fast
212,-10.227204,51.946705,Private low
213,-9.589492,51.884003,Private low
214,-9.786073,52.107344,Public fast
215,-9.714192,52.260883,Private low
216,-9.699875,52.270976,Public fast
217,-9.71,52.271,Public low
218,-9.70961,52.2666,Private low
219,-6.523586,53.323004,Private fast
220,-6.908265,53.162374,Private fast
221,-7.06519,53.145372,Private fast
222,-7.244226,52.654109,Private fast
223,-7.260136,52.655331,Private low
224,-7.135967,52.526499,Private fast
225,-7.346601,52.91297,Private fast
226,-7.333091,53.118234,Public low
227,-7.187451,53.160461,Private fast
228,-7.298964,53.032991,Private fast
229,-8.790471,52.565132,Public low
230,-8.5739,52.675091,Private low
231,-9.099685,52.607471,Public low
232,-8.632049,52.661893,Private low
233,-8.623874,52.667322,Private low
234,-7.800276,53.725111,Public low
235,-6.185322,54.040456,Public fast
236,-6.354049,53.71713,Public fast
237,-6.402563,54.010244,Private fast
238,-6.387454,54.003855,Private low
239,-8.765583,53.762046,Public low
240,-9.989089,54.222996,Private fast
241,-9.3007,53.8569,Private low
242,-8.9525,53.9386,Public fast
243,-9.5241,53.8005,Public low
244,-6.834811,53.415451,Public fast
245,-6.683919,53.654434,Public fast
246,-6.47119,53.43385,Private fast
247,-6.734236,54.118976,Public low
248,-7.232457,54.180374,Private low
249,-8.30158,53.971854,Private fast
250,-8.528397,54.389519,Public fast
251,-8.465001,54.271302,Public fast
252,-7.409999,52.348698,Private low
253,-8.212924,52.861526,Public low
254,-7.801199,52.956953,Public fast
255,-7.821686,52.675998,Private fast
256,-7.147005,52.164062,Private fast
257,-6.227539,52.644754,Private fast
258,-6.57359,52.50341,Public low
259,-6.295529,52.673257,Public fast
260,-6.460155,52.337957,Private low
261,-6.463952,52.340105,Public fast
262,-6.159181,52.794954,Public fast
263,-6.154016,52.796732,Public fast
264,-6.153186,52.79884,Public low
265,-6.108066,53.011805,Private low
266,-6.103734,53.204956,Public low
267,-6.0982,53.203109,Public fast
268,-6.5013,55.0709,Private fast
269,-5.928256,54.594342,Private low
270,-5.924292,54.594109,Public fast
271,-5.935574,54.593365,Private fast
272,-5.905207,54.546408,Private low
273,-5.839133,54.59371,Private low
274,-5.815372,54.852279,Public fast
275,-5.818398,54.850413,Private low
276,-5.824385,54.85092,Public low
277,-6.651237,55.202916,Public low
278,-6.089323,54.705215,Private low
279,-6.660039,54.350942,Private low
280,-6.393503,54.451549,Private low
281,-6.44002,54.422202,Private low
282,-7.32095,54.9989,Private low
283,-7.322001,55.01272,Public fast
284,-7.32185,54.99548,Private low
285,-6.61157,54.75236,Private fast
286,-7.464149,54.829324,Private low
287,-6.2711,54.349378,Private fast
288,-5.658459,54.647352,Private fast
289,-5.758739,54.396759,Private fast
290,-5.821811,54.5895,Private low
291,-5.800031,54.652793,Public fast
292,-6.0077,54.0607,Private low
293,-5.890661,54.214826,Private fast
294,-6.361695,54.189322,Public fast
295,-6.338146,54.175246,Public low
296,-8.091973,54.480109,Private fast
297,-7.639049,54.385592,Public fast
298,-7.57355,54.19802,Public low
299,-7.640307,54.34741,Public fast
300,-7.637848,54.343512,Public fast
301,-6.73992,54.64163,Public low
302,-6.747952,54.647349,Public fast
303,-7.31583,54.37878,Private low
304,-7.352932,54.676914,Public low
305,-7.307725,54.601591,Private low
306,-7.334948,54.659146,Private low
307,-6.197212,53.492693,Public fast
308,-6.28074,53.3708,Public low
309,-6.213815,53.280332,Public fast
310,-6.234603,53.428658,Private fast
311,-6.456163,52.25783,Public fast
312,-6.018397,54.69481,Public fast
313,-6.197212,53.492693,Private low
314,-6.213815,53.280332,Private fast
315,-6.3138,53.3044,Public fast
316,-6.234603,53.428658,Private low
317,-6.452681,53.349266,Private low
318,-9.305581,53.854221,Public fast
319,-8.528397,54.389519,Private fast
320,-7.496517,53.362824,Private fast
321,-6.456163,52.25783,Private fast
322,-6.018397,54.69481,Private low
323,-8.482733,51.919755,Public fast
324,-6.197212,53.492693,Private fast
325,-6.213815,53.280332,Public fast
326,-6.3138,53.3044,Public fast
327,-6.234603,53.428658,Private low
328,-6.452681,53.349266,Private low
329,-9.305581,53.854221,Private low
330,-8.528397,54.389519,Private fast
331,-7.496517,53.362824,Private low
332,-6.456163,52.25783,Public fast
333,-6.018397,54.69481,Public fast
334,-7.352932,54.676914,Private fast
335,-6.927016,52.833492,Public fast
336,-6.736986,52.801581,Private fast
337,-7.204457,53.86385,Private fast
338,-9.290289,53.027069,Private low
339,-8.897258,52.761544,Public low
340,-8.877285,52.708176,Private low
341,-8.534676,51.886038,Private fast
342,-8.389447,51.814197,Public fast
343,-8.88957,51.620831,Public fast
344,-8.295589,51.852858,Private low
345,-8.30804,51.803537,Private fast
346,-9.111555,51.721685,Public fast
347,-9.553212,51.750022,Private low
348,-8.331938,51.849032,Public fast
349,-7.850032,51.956697,Private low
350,-7.783045,54.797965,Private fast
351,-8.188621,54.501145,Private fast
352,-7.262612,55.251378,Private low
353,-8.284545,54.798248,Private low
354,-8.443325,54.636031,Private low
355,-7.768815,54.804946,Public low
356,-6.185082,53.251009,Private fast
357,-6.242058,53.41601,Public fast
358,-6.212747,53.353856,Public fast
359,-6.315448,53.31948,Public low
360,-6.116236,53.391623,Private fast
361,-6.364012,53.375177,Private low
362,-6.149376,53.260088,Private fast
363,-6.169813,53.252775,Private fast
364,-6.203613,53.277164,Private low
365,-6.248054,53.338006,Public low
366,-6.255804,53.332326,Private low
367,-6.257851,53.335409,Private low
368,-6.242715,53.336496,Public low
369,-6.24871,53.3344,Private fast
370,-6.183082,53.360832,Public fast
371,-6.228056,53.342945,Public fast
372,-6.232894,53.338798,Public fast
373,-6.15157,53.451232,Public low
374,-6.421705,53.283222,Private fast
375,-6.199702,53.290457,Private low
376,-6.223713,53.45423,Public low
377,-10.019564,53.488862,Public fast
378,-9.050699,53.278213,Public fast
379,-9.052773,53.276523,Public fast
380,-10.227204,51.946705,Private low
381,-9.589492,51.884003,Public low
382,-9.786073,52.107344,Public fast
383,-9.714192,52.260883,Public fast
384,-9.699875,52.270976,Private fast
385,-9.71,52.271,Private fast
386,-9.70961,52.2666,Private fast
387,-6.523586,53.323004,Public low
388,-6.908265,53.162374,Private low
389,-7.06519,53.145372,Public low
390,-7.244226,52.654109,Private fast
391,-7.260136,52.655331,Private fast
392,-7.135967,52.526499,Public low
393,-7.346601,52.91297,Public low
394,-7.333091,53.118234,Private low
395,-7.187451,53.160461,Public low
396,-7.298964,53.032991,Public fast
397,-8.790471,52.565132,Private low
398,-8.5739,52.675091,Private low
399,-9.099685,52.607471,Public low
400,-8.632049,52.661893,Private low
401,-8.623874,52.667322,Public low
402,-7.800276,53.725111,Private fast
403,-6.185322,54.040456,Private fast
404,-6.354049,53.71713,Private fast
405,-6.402563,54.010244,Private fast
406,-6.387454,54.003855,Public fast
407,-8.765583,53.762046,Private fast
408,-9.989089,54.222996,Private low
409,-9.3007,53.8569,Public fast
410,-8.9525,53.9386,Private low
411,-9.5241,53.8005,Private fast
412,-6.834811,53.415451,Public low
413,-6.683919,53.654434,Public fast
414,-6.47119,53.43385,Private low
415,-6.734236,54.118976,Private low
416,-7.232457,54.180374,Private fast
417,-6.927016,52.833492,Public fast
418,-6.736986,52.801581,Private low
419,-7.204457,53.86385,Private fast
420,-9.290289,53.027069,Private low
421,-8.897258,52.761544,Private low
422,-8.877285,52.708176,Public fast
423,-8.534676,51.886038,Public fast
424,-8.389447,51.814197,Public low
425,-8.88957,51.620831,Public fast
426,-8.295589,51.852858,Private fast
427,-8.30804,51.803537,Public low
428,-9.111555,51.721685,Private low
429,-9.553212,51.750022,Private fast
430,-8.331938,51.849032,Private low
431,-7.850032,51.956697,Public low
432,-7.783045,54.797965,Private fast
433,-8.188621,54.501145,Private fast
434,-7.262612,55.251378,Private low
435,-8.284545,54.798248,Public low
436,-8.443325,54.636031,Private low
437,-7.768815,54.804946,Private low
438,-6.185082,53.251009,Private low
439,-6.242058,53.41601,Public fast
440,-6.212747,53.353856,Private low
441,-6.315448,53.31948,Public fast
442,-6.116236,53.391623,Private fast
443,-6.364012,53.375177,Private low
444,-6.149376,53.260088,Public fast
445,-6.169813,53.252775,Public low
446,-6.203613,53.277164,Private low
447,-6.248054,53.338006,Public low
448,-6.255804,53.332326,Private fast
449,-6.257851,53.335409,Private low
450,-6.242715,53.336496,Private fast
451,-6.24871,53.3344,Public fast
452,-6.183082,53.360832,Public fast
453,-6.228056,53.342945,Private fast
454,-6.232894,53.338798,Private low
455,-6.15157,53.451232,Private fast
456,-6.421705,53.283222,Public fast
457,-6.199702,53.290457,Private low
458,-6.223713,53.45423,Private fast
459,-10.019564,53.488862,Private fast
460,-9.050699,53.278213,Private low
461,-9.052773,53.276523,Private low
462,-10.227204,51.946705,Public low
463,-9.589492,51.884003,Public low
464,-9.786073,52.107344,Public fast
465,-9.714192,52.260883,Public fast
466,-9.699875,52.270976,Private fast
467,-9.71,52.271,Private fast
468,-9.70961,52.2666,Private fast
469,-6.523586,53.323004,Public low
470,-6.908265,53.162374,Private fast
471,-7.06519,53.145372,Private low
472,-7.244226,52.654109,Public low
473,-7.260136,52.655331,Public low
474,-7.135967,52.526499,Private fast
475,-7.346601,52.91297,Public fast
476,-7.333091,53.118234,Private low
477,-7.187451,53.160461,Public fast
478,-7.298964,53.032991,Private fast
479,-8.790471,52.565132,Public low
480,-8.5739,52.675091,Public low
481,-9.099685,52.607471,Public low
482,-8.632049,52.661893,Private fast
483,-8.623874,52.667322,Public low
484,-7.800276,53.725111,Private low
485,-6.185322,54.040456,Public fast
486,-6.354049,53.71713,Private low
487,-6.402563,54.010244,Private low
488,-6.387454,54.003855,Public fast
489,-8.765583,53.762046,Private low
490,-9.989089,54.222996,Private fast
491,-9.3007,53.8569,Private low
492,-8.9525,53.9386,Private fast
493,-9.5241,53.8005,Public low
494,-6.834811,53.415451,Public fast
495,-6.683919,53.654434,Private fast
496,-6.47119,53.43385,Private low
497,-6.734236,54.118976,Private low
498,-7.232457,54.180374,Private low
499,-8.30158,53.971854,Private fast
500,-8.528397,54.389519,Private low
501,-8.465001,54.271302,Public fast
502,-7.409999,52.348698,Private low
503,-8.212924,52.861526,Private low
504,-7.801199,52.956953,Private fast
505,-7.821686,52.675998,Public low
506,-7.147005,52.164062,Private fast
507,-6.227539,52.644754,Public fast
508,-6.57359,52.50341,Public fast
509,-6.295529,52.673257,Private fast
510,-6.460155,52.337957,Private low
511,-6.463952,52.340105,Private fast
512,-6.159181,52.794954,Private fast
513,-6.154016,52.796732,Public low
514,-6.153186,52.79884,Public fast
515,-6.108066,53.011805,Public low
516,-6.103734,53.204956,Private fast
517,-6.0982,53.203109,Private low
518,-6.5013,55.0709,Public fast
519,-5.928256,54.594342,Private fast
520,-5.924292,54.594109,Public fast
521,-5.935574,54.593365,Public fast
522,-5.905207,54.546408,Private low
523,-5.839133,54.59371,Private fast
524,-5.815372,54.852279,Private low
525,-5.818398,54.850413,Public low
526,-5.824385,54.85092,Private low
527,-6.651237,55.202916,Private low
528,-6.089323,54.705215,Public fast
529,-6.660039,54.350942,Private low
530,-6.393503,54.451549,Public fast
531,-6.44002,54.422202,Private fast
532,-7.32095,54.9989,Public low
533,-7.322001,55.01272,Public low
534,-7.32185,54.99548,Private low
535,-6.61157,54.75236,Private low
536,-7.464149,54.829324,Public fast
537,-6.2711,54.349378,Private low
538,-5.658459,54.647352,Public fast
539,-5.758739,54.396759,Private low
540,-5.821811,54.5895,Private low
541,-5.800031,54.652793,Private low
542,-6.0077,54.0607,Private fast
543,-5.890661,54.214826,Public low
544,-6.361695,54.189322,Public low
545,-6.338146,54.175246,Public low
546,-8.091973,54.480109,Private fast
547,-7.639049,54.385592,Private fast
548,-7.57355,54.19802,Public low
549,-7.640307,54.34741,Private fast
550,-7.637848,54.343512,Private fast
551,-6.73992,54.64163,Private low
552,-6.747952,54.647349,Private low
553,-7.31583,54.37878,Public fast
554,-7.352932,54.676914,Private low
555,-7.307725,54.601591,Private low
556,-7.334948,54.659146,Public low
557,-6.197212,53.492693,Private low
558,-6.28074,53.3708,Public low
559,-6.213815,53.280332,Public low
560,-6.234603,53.428658,Private fast
561,-6.395969,53.495491,Private low
562,-6.456163,52.25783,Private low
563,-6.018397,54.69481,Public low
564,-6.197212,53.492693,Private low
565,-6.213815,53.280332,Public low
566,-6.3138,53.3044,Public low
567,-6.234603,53.428658,Private fast
568,-6.452681,53.349266,Public low
569,-9.305581,53.854221,Private low
570,-6.395969,53.495491,Public low
571,-8.528397,54.389519,Public low
572,-7.496517,53.362824,Public low
573,-6.456163,52.25783,Public fast
574,-6.018397,54.69481,Private fast
575,-8.482733,51.919755,Public fast
576,-6.197212,53.492693,Public fast
577,-6.213815,53.280332,Private low
578,-6.3138,53.3044,Public low
579,-6.234603,53.428658,Public low
580,-6.452681,53.349266,Private low
581,-9.305581,53.854221,Public low
582,-6.395969,53.495491,Private low
583,-8.528397,54.389519,Private low
584,-7.496517,53.362824,Public low
585,-6.456163,52.25783,Public fast
586,-6.018397,54.69481,Private low
587,-7.352932,54.676914,Private fast
588,-6.927016,52.833492,Public low
589,-6.736986,52.801581,Private low
590,-7.204457,53.86385,Public fast
591,-9.290289,53.027069,Private fast
592,-8.897258,52.761544,Private fast
593,-8.877285,52.708176,Public low
594,-8.534676,51.886038,Public fast
595,-8.389447,51.814197,Private fast
596,-8.88957,51.620831,Private low
597,-8.30804,51.803537,Private fast
598,-9.111555,51.721685,Public low
599,-9.553212,51.750022,Private low
600,-8.331938,51.849032,Private low
601,-7.850032,51.956697,Private low
602,-7.783045,54.797965,Public low
603,-8.188621,54.501145,Public fast
604,-7.262612,55.251378,Public fast
605,-8.284545,54.798248,Public fast
606,-8.443325,54.636031,Private fast
607,-7.768815,54.804946,Private low
608,-6.185082,53.251009,Public fast
609,-6.242058,53.41601,Private low
610,-6.212747,53.353856,Public fast
611,-6.315448,53.31948,Private fast
612,-6.116236,53.391623,Private fast
613,-6.364012,53.375177,Private low
614,-6.149376,53.260088,Private fast
615,-6.169813,53.252775,Private fast
616,-6.203613,53.277164,Public low
617,-6.213815,53.280332,Private low
618,-6.248054,53.338006,Public low
619,-6.255804,53.332326,Public low
620,-6.257851,53.335409,Private low
621,-6.242715,53.336496,Public fast
622,-6.24871,53.3344,Private low
623,-6.183082,53.360832,Private fast
624,-6.228056,53.342945,Public low
625,-6.232894,53.338798,Public fast
626,-6.15157,53.451232,Private low
627,-6.421705,53.283222,Private fast
628,-6.199702,53.290457,Public low
629,-6.223713,53.45423,Public fast
630,-10.019564,53.488862,Private fast
631,-9.050699,53.278213,Public low
632,-9.052773,53.276523,Private low
633,-10.227204,51.946705,Public low
634,-9.589492,51.884003,Private low
635,-9.786073,52.107344,Public fast
636,-9.714192,52.260883,Private low
637,-9.699875,52.270976,Public low
638,-9.71,52.271,Private low
639,-9.70961,52.2666,Private fast
640,-6.523586,53.323004,Private low
641,-6.908265,53.162374,Private low
642,-7.06519,53.145372,Public low
643,-7.244226,52.654109,Public fast
644,-7.260136,52.655331,Private low
645,-7.135967,52.526499,Private fast
646,-7.346601,52.91297,Public fast
647,-7.333091,53.118234,Public fast
648,-7.187451,53.160461,Public low
649,-7.298964,53.032991,Public fast
650,-8.790471,52.565132,Public low
651,-8.5739,52.675091,Public low
652,-9.099685,52.607471,Private low
653,-8.632049,52.661893,Private fast
654,-8.623874,52.667322,Private fast
655,-7.800276,53.725111,Private low
656,-6.185322,54.040456,Private fast
657,-6.354049,53.71713,Private low
658,-6.402563,54.010244,Public fast
659,-6.387454,54.003855,Private fast
660,-8.765583,53.762046,Public fast
661,-9.989089,54.222996,Public fast
662,-9.3007,53.8569,Private low
663,-8.9525,53.9386,Private low
664,-9.5241,53.8005,Public fast
665,-6.834811,53.415451,Public fast
666,-6.683919,53.654434,Public low
667,-6.47119,53.43385,Public fast
668,-6.734236,54.118976,Private low
669,-7.232457,54.180374,Private fast
670,-8.30158,53.971854,Private low
671,-8.528397,54.389519,Public low
672,-8.465001,54.271302,Public low
673,-7.409999,52.348698,Private fast
674,-8.212924,52.861526,Public low
675,-7.801199,52.956953,Public low
676,-7.821686,52.675998,Public low
677,-7.147005,52.164062,Private low
678,-6.227539,52.644754,Private fast
679,-6.57359,52.50341,Public low
680,-6.295529,52.673257,Private fast
681,-6.460155,52.337957,Public low
682,-6.463952,52.340105,Public low
683,-6.159181,52.794954,Private low
684,-6.154016,52.796732,Public low
685,-6.153186,52.79884,Public fast
686,-6.108066,53.011805,Public fast
687,-6.103734,53.204956,Public fast
688,-6.0982,53.203109,Public fast
689,-6.5013,55.0709,Public fast
690,-5.928256,54.594342,Private low
691,-5.924292,54.594109,Public fast
692,-5.935574,54.593365,Private fast
693,-5.905207,54.546408,Private low
694,-5.839133,54.59371,Public fast
695,-5.815372,54.852279,Public low
696,-5.818398,54.850413,Public low
697,-5.824385,54.85092,Public low
698,-6.651237,55.202916,Public fast
699,-6.089323,54.705215,Private low
700,-6.660039,54.350942,Public fast
701,-6.393503,54.451549,Private low
702,-6.44002,54.422202,Public low
703,-7.32095,54.9989,Private low
704,-7.322001,55.01272,Private fast
705,-7.32185,54.99548,Public fast
706,-6.61157,54.75236,Public fast
707,-7.464149,54.829324,Public fast
708,-6.2711,54.349378,Public fast
709,-5.658459,54.647352,Private low
710,-5.758739,54.396759,Public low
711,-5.821811,54.5895,Public low
712,-5.800031,54.652793,Public low
713,-6.0077,54.0607,Private low
714,-5.890661,54.214826,Private fast
715,-6.361695,54.189322,Public fast
716,-6.338146,54.175246,Public low
717,-8.091973,54.480109,Public low
718,-7.639049,54.385592,Private low
719,-7.57355,54.19802,Private low
720,-7.640307,54.34741,Public fast
721,-7.637848,54.343512,Public low
722,-6.73992,54.64163,Public fast
723,-6.747952,54.647349,Private low
724,-7.31583,54.37878,Public fast
725,-7.352932,54.676914,Public low
726,-7.307725,54.601591,Public low
727,-7.334948,54.659146,Public low
728,-6.197212,53.492693,Public low
729,-6.28074,53.3708,Public fast
730,-6.213815,53.280332,Public fast
731,-6.234603,53.428658,Public fast
732,-6.395969,53.495491,Public low
733,-6.456163,52.25783,Public fast
734,-6.018397,54.69481,Public low
735,-8.3954,51.877,Private low
736,-6.197212,53.492693,Public low
737,-6.213815,53.280332,Public fast
738,-6.234603,53.428658,Private fast
739,-9.305581,53.854221,Private fast
740,-6.395969,53.495491,Public low
741,-8.528397,54.389519,Public fast
742,-7.496517,53.362824,Public low
743,-6.456163,52.25783,Public fast
744,-6.018397,54.69481,Public low
745,-8.482733,51.919755,Public fast
746,-8.3954,51.877,Public low
747,-6.197212,53.492693,Public fast
748,-6.213815,53.280332,Public low
749,-6.234603,53.428658,Private low
750,-9.305581,53.854221,Public low
751,-6.395969,53.495491,Public fast
752,-8.528397,54.389519,Private fast
753,-7.496517,53.362824,Public low
754,-6.456163,52.25783,Private low
755,-6.018397,54.69481,Private fast
756,-7.352932,54.676914,Private fast
757,-6.927016,52.833492,Private low
758,-6.736986,52.801581,Private fast
759,-7.204457,53.86385,Private fast
760,-9.290289,53.027069,Private low
761,-8.897258,52.761544,Private low
762,-8.877285,52.708176,Private low
763,-8.534676,51.886038,Public fast
764,-8.389447,51.814197,Public fast
765,-8.88957,51.620831,Private low
766,-8.295589,51.852858,Private low
767,-8.30804,51.803537,Public fast
768,-9.111555,51.721685,Public fast
769,-9.553212,51.750022,Private fast
770,-8.331938,51.849032,Private low
771,-7.850032,51.956697,Public low
772,-7.783045,54.797965,Public low
773,-8.188621,54.501145,Private low
774,-7.262612,55.251378,Public low
775,-8.284545,54.798248,Public fast
776,-8.443325,54.636031,Private low
777,-7.768815,54.804946,Public fast
778,-6.185082,53.251009,Private fast
779,-6.242058,53.41601,Private fast
780,-6.315448,53.31948,Private low
781,-6.116236,53.391623,Private low
782,-6.364012,53.375177,Public fast
783,-6.149376,53.260088,Private fast
784,-6.169813,53.252775,Private low
785,-6.203613,53.277164,Private fast
786,-6.248054,53.338006,Private fast
787,-6.255804,53.332326,Private low
788,-6.257851,53.335409,Public fast
789,-6.242715,53.336496,Private low
790,-6.24871,53.3344,Public fast
791,-6.183082,53.360832,Public fast
792,-6.228056,53.342945,Public low
793,-6.232894,53.338798,Public fast
794,-6.15157,53.451232,Public low
795,-6.421705,53.283222,Public fast
796,-6.199702,53.290457,Public fast
797,-6.223713,53.45423,Private fast
798,-10.019564,53.488862,Public low
799,-9.050699,53.278213,Public fast
